country_idx,safety_title,safety_url,created_at
34,"재외국민 안전 공지-12<제3호 태풍 개미(格美) 피해 대비>","https://www.0404.go.kr/dev/newest_view.nmofa?id=23115&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-24
49,"연락두절 공고(표현수)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23391&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-24
49,"태풍 카리나(개미) 관련 안전공지 2","https://www.0404.go.kr/dev/newest_view.nmofa?id=23392&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-24
미지정,"(베네수엘라) 대통령 선거(7.28)관련 안전 예방 공지(2)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23508&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-24
미지정,"지진 발생 및 안전 유의사항 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23656&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-24
미지정,"Antehiroka 지역 사건 관련 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=24311&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
29,"(이라크) IS의 공격 증가 관련 신변안전 유의 당부","https://www.0404.go.kr/dev/newest_view.nmofa?id=23001&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
미지정,"(타지키스탄) 안전여행 길잡이","https://www.0404.go.kr/dev/newest_view.nmofa?id=23742&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
36,"시엠립경찰청 외국인전용 핫라인 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23336&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
49,"태풍 카리나(개미) 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23393&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
32,"제3호 태풍(개미) 오키나와 일부지역 접근관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=23103&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
4,"겨울철 도로결빙(블랙아이스) 주의","https://www.0404.go.kr/dev/newest_view.nmofa?id=23195&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
37,"서부 캐나다 산불 관련 안전공지(5) : Jasper지역 대피명령 등","https://www.0404.go.kr/dev/newest_view.nmofa?id=23426&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
미지정,"베네수엘라 대선(7.28) 관련 안전 공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=187&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-23
미지정,"니파 바이러스 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23317&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-22
34,"여름철 자연재해 주의 안내","https://www.0404.go.kr/dev/newest_view.nmofa?id=23116&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-22
미지정,"[안전공지] 7.23(화) 캄팔라 내 반부패 시위 관련 안전공지","https://www.0404.go.kr/dev/newest_view.nmofa?id=24520&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-22
32,"공관 인근 시위 관련 신변안전 유의(7.25.)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23104&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-22
미지정,"재외국민 안전을 위한 안내문 (중고물품 거래 사기 관련)","https://www.0404.go.kr/dev/newest_view.nmofa?id=23714&pagenum=1&mst_id=MST0000000000041&ctnm=&div_cd=&st=title&stext=",2024-07-22
