country_idx,safety_title,created_at,safety_content
11,안전공지 (골란고원 로켓 피격 민간인 사망 사건),2024-07-30,"**레바논 전역에 적색 여행경보가 발령중입니다. 레바논으로의 여행을 계획중이신 분들은 여행을 취소하시기 바라며, 현재 레바논에 체류중인 경우 출국할 것을 권고합니다.7.27(토) 골란고원 마즈달 샴스(Mazdal Shams) 축구장에서 로켓 피격으로 최소 12명의 아동, 청소년이 사망한 것과 관련해, 이스라엘이 동 폭격이 헤즈볼라 소행임을 주장하며 강력한 보복을 예고하고 있어 긴장이 고조되고 있습니다.이스라엘이 레바논에 폭격을 실시할 경우, 이는 매우 급작스럽게 이루어질 수 있으며, 대상 지역도 예측하기 어렵습니다.레바논에 체류중인 재외국민들께서는 이번 일주일 동안은불요불급한 외출과 이동(차량 이동 포함)을 자제하시고, 최대한 안전한 곳에 머무시기 바랍니다.특히 남부 레바논, 시리아 국경지대, 난민촌, 베이루트 남부 헤즈볼라 관련 지역출입을 삼가시기 바랍니다.아울러 이번 사태 관련, MEA, 루프트한자, 스위스항공 등 일부 항공사들이 항공편 운영 스케줄을 변경하고 있으므로, 항공편 이용시 항공사를 통해 비행 일정을 확인하시기 바랍니다.긴급상황 발생시 대사관 긴급전화 +961-81-077491로 연락주시기 바랍니다."
미지정,베네수엘라 대선(7.28) 관련 안전 공지,2024-07-23,"오는 7.28(일) 예정된 베네수엘라 대통령 선거를 앞두고, ~7.25(목)까지 공식 선거 유세가 있을 예정입니다.이와 관련, 베네수엘라 거주 동포 및 베네수엘라를 방문 중인 우리 국민께서는 현재 선거 유세가 절정인 시기임을 감안, 각종 정치 집회, 시위 현장 부근 방문을 자제하시기를 권고드립니다.아울러 비지니스나 등의 사유로 베네수엘라 방문을 현재 계획 중인 우리 국민께서는 불요불급하지 않다면 안전 예방 차원에서 7.28 선거일 이후 방문 여부를 판단하시길 적극 권고드립니다.참고로, 베네수엘라의 여행경보는 현재 전지역이 3단계(출국권고)로 지정되어 있으므로, 단순 여행 목적의 방문은 당분간 연기 또는 취소하여 주시길 권고드립니다.베네수엘라 대선 관련 대사관 공지 및 뉴스를 주시하여 주시고 안전 관련 긴급 상황 발생시, 아래 연락처로 연락주시기 바랍니다.☞ 주베네수엘라한국대사관 대표전화(근무시간) : +58-212-954-1270 / 긴급전화(근무시간외) : +58-412-261-0754☞ 영사콜센터(24시간) : +82-2-3210-0404 / 카카오톡 ‘외교부 영사콜센터’ 친구추가"
17,[7.16.(화) 학생 시위 지속에 따른 신변 안전 공지],2024-07-17,"[학생 시위 지속에 따른 신변 안전 공지]공무원 채용 할당제 반대 학생 시위대에 대한 여당 청년 연맹(BCL)의 공격으로 할당제 반대 시위대 부상 발생에 대한 항의로 전국 대학교 학생들의 시위가 다카를 비롯하여 전국에서 금일 오전부터 각 대학 캠퍼스에 모여 주요 도로 봉쇄 등 시민들의 통행에 어려움을 겪고 있는 상황이 발생하고 있습니다.교민여러분께서는 시위 인근 지역 방문을 피해주시기 바라며, 이외의 지역에서도 산발적으로 시위가 발생하고 있으니 불특정 다수가 모인 장소는 피하시고 불요불급한 외부 활동은 줄이는 등 신변 안전에 각별히 유의하여 주시기 바랍니다.ㅇ 대표번호 : +880 2 5881 2088~90ㅇ 당직번호 : +880 17 5563 9618(*근무시간 외 사건사고 시)"
44,파라과이 출입국시 동식물 등 반출 유의 안내,2024-07-15,"파라과이를 출입하는 내외국인은 국내에서 서식하는 동식물 등을 국외 반출시 공항 및 국경도로 검색대에서 출입국이 제한되고 법적 처벌을 받을 수 있습니다.이와 관련된 파라과이 법률을 아래와 같이 안내해 드리니, 여행시 유의하시기 바랍니다.ㅇ 파라과이 법률 제716호. 환경에 반하는 불벌행위의 처벌에 관한 법** 법령 원문 출처 : Ley N. 716 / SANCIONA DELITOS CONTRA EL MEDIO AMBIENTE제5조, 다음과 같은 활동을 하는 자에게는 1년 이상 5년 이하의 징역 또는 일일 최저임금의 500배 이상 1,500배 이하*의 벌금에 처한다.* 2024.7월 기준 한화 약 1천만원 이상 3천만원 이하﻿(a) 멸종 위기에 처한 야생 동물종을 파괴하는 자 또는 그 동물을 불법적으로 거래하거나 상품화하는 자(b) 관할 당국의 명시적인 허가 없이 유전자 조작을 하거나 전염병을 전파한 자(c) 식물위생 제한에 따른 종 및 해충을 국내에 반입 또는 판매하는 자﻿제6조. 고유종 또는 멸종위기종으로 규정된 종의 서식지에서의 수렵, 어로, 채집 또는 그 보존에 관한 규정을 위반한 자는 1년 이상 5년 이하의 징역, 목적에 사용된 종의 압수 및 일일 최저임금의 500배 이상 1,500배 이하의 벌금에 처한다."
34,"국정원, 중국 체류 및 여행자 대상 불심검문 주의 당부",2024-07-02,"□  2024. 7. 1.(월)부터 시행된 중국의 <국가안전기관 안전행정 집행절차 규정> 및 <국가안전기관 형사사건 처리절차 규정> 관련,ㅇ  국가정보원은 지난 6월27일 중국에 장기체류 중인 우리나라 국민은 물론, 단기 출장 및 여행자를 대상으로 한 중국 공안기관의 '불심검문' 가능성에 대해 주의를 당부하였습니다.□  상세 내용은 첨부된 국가정보원 보도자료를 확인해 주시기 바랍니다.첨부 : 국가정보원 보도자료.  끝."
11,이스라엘-헤즈볼라 무력충돌 관련 안전공지,2024-06-28,"이스라엘-헤즈볼라 간 무력충돌이 심화함에 따라 레바논에서의확전 우려가 고조되고 있으며, 상황이 언제 어떻게 급변할지예측하기 어려운 상황입니다.레바논 전역에 우리 정부의 적색 여행경보가 발령 중입니다.레바논으로 여행을 계획하고 있는 경우 여행을 취소하고,레바논에 체류중인 우리 국민은 아직 민항기가 운영중 일 때레바논에서 출국하는 것을 고려하여 주시기 바랍니다.정세가 갑작스럽게 악화될 수 있으며, 이 경우 베이루트 공항이용이 불가능하게 될 가능성이 매우 큽니다.레바논에 체류중인 국민께서는 아래 행동요령을 참고하여 신변안전에각별히 유의해 주시기 바랍니다.ㅇ 대사관에 긴급 연락처 제공ㅇ 여권 만료 기간 확인 및 필요시 즉시 대사관에 재발급 신청ㅇ 레바논 남부지역, 국경지역, 난민캠프지역, 군사시설 인근 등위험지역 출입 자제ㅇ 집회/시위 현장이나 군중이 밀집된 장소 접근 자제ㅇ 외국인 대상 테러, 납치 등의 위험에 주의ㅇ 인근에 총격, 포격이 발생할 경우 외출을 삼가고, 상황이안정될 때까지 상시 뉴스 확인ㅇ 차량에 충분한 주유, 가택 내 비상식량, 식수, 현금, 의약품 구비YTN 해외안전여행정보https://www.youtube.com/watch?v=ulkW5gtaTWk긴급상황 발생 시 아래 연락처로 연락주시기 바랍니다.ㅇ 주레바논대사관 긴급전화 : +961-81-007491ㅇ 영사콜센터(24시간) : +82 2 3210 0404ㅇ 해외안전여행 무료전화(플레이스토어 또는 앱스토어에서 '영사콜센터 무료전화앱' 검색후 설치)"
18,볼리비아 라파스 군부 무력시위 관련 안전공지,2024-06-27,"6.26(수) 오후 볼리비아 군부가 군 장갑차를 동원해 무리요 광장을 점거하고 대통령궁 진입을 시도하는 사건이 발생했습니다.쿠데타 선언은 이루어지지 않았으나 이후 군대가 철수하는 과정에서 군인과 시민 간 대치 상황이 발생하고, 많은 시민들이 시내 중심가에서 친정부 시위를 진행하는 등 현지 치안이 매우 불안정한 상황입니다.현재 무력시위를 주도했던 군대는 철수했으나 여전히 위험이 잔존하고 있으므로, 우리 국민 및 여행객들께서는 대통령궁 및 무리요 광장, 시내 중심가 출입을 삼가시고, 신변안전에 각별한 주의를 기울여주시기 바랍니다.무력시위 관련 대사관 공지 및 뉴스를 주시하여주시고 안전 관련 긴급 상황 발생시, 아래 연락처로 연락주시기 바랍니다.☞ 주볼리비아한국대사관 대표전화 : +591-2-211-0361~3 / 이메일: coreabolivia@mofa.go.kr☞ 영사콜센터(24시간) : +82-2-3210-0404 / 카카오톡 ‘외교부 영사콜센터’ 친구추가"
38,케냐 정부 세금인상 반대시위 관련 안전공지,2024-06-27,"1. 6.18.(화)부터 케냐 수도 나이로비를 중심으로 시작된 재정법 개정(세금인상 내용 포함)에 반대하는 시
위가 케냐 전역으로 확대되고 있습니다.2. 최근 시위 양상이 점차 과격해지고 있고, 시위를 틈탄 절도, 약탈도 발생하고 있는 만큼 우리 국민 및 여행객들
께서는 대사관 홈페이지 및 언론 등에 관심을 기울이고 신변 안전에 각별히 주의하시기 바랍니다.ㅇ 시위 장소를 우회하고, 진입시 최대한 신속히 이탈※ 특히, 정부 청사 및 국회 인근 지역(CBD 등) 우회ㅇ 시위 장소 인근에서 사진 및 동영상 촬영 자제ㅇ인적이 한산한 곳 및 야간 통행 자제ㅇ 시위대를 상징할 수 있는 옷, 색깔에 유의※ 기존에는 시위대가 파란색, 흰색 등 복장이었으나 수시로 변경되는 경향3. 안전 관련 긴급상황 발생시 아래 연락처로 연락주시기 바랍니다.ㅇ 주케냐한국대사관 긴급전화 : +254 708 984 891ㅇ 영사콜센터(24시간) : +82 2 3210 0404ㅇ 해외안전여행 무료전화 (플레이스토어 또는 앱스토어에서 ‘영사콜센터 무료전화앱’ 검색후 설치"
8,유로 2024 개최 관련 안전 공지,2024-06-14,"1. 2024 유럽축구선수권대회(유로 2024)가 6.14(금)-7.14(일) 간 독일 
10개 도시에서 개최되어 1,000만명 이상의 인파가 독일 지역을 방문
할 것으로 예상되는 가운데, 독일 정부 및 국내외 언론보도 등을 통해 
동 대회 기간 중 안전에 대한 우려가 제기되고 있습니다.ㅇ 유로 2024 개요- 기간 : 2024.6.14(금)-7.14(일)- 개최도시 : 베를린, 뮌헨, 도르트문트, 라이프치히, 함부르크, 겔젠키르
헨, 뒤셀도르프, 쾰른, 프랑크푸르트, 슈투트가르트- 참가국 : 유럽 지역 24개국- 경기 : 6개 조별리그 및 결선 토너먼트 등 총 51개 경기※ 상세 경기 일정은 유로 2024 홈페이지(www.uefa.com/euro2024/)를참조하시기 바랍
니다.2. 상기 기간 중 독일에 체류하는 우리 국민께서는 야간 외출 등 불필요
한 외부활동을 자제하고, 다수의 인파가 밀집된 장소를 방문할 경우 
아래 내용을 참고하여 신변안전에 특별히 유의해주시기 바랍니다.ㅇ 안전사고와 폭행, 성추행, 소매치기 등의 범죄 주의ㅇ 외출 시에는 지인들에게 행선지를 알리고, 신분증 소지ㅇ 주변에 수상한 움직임이 있을 경우 즉시 해당 장소를 벗어나 안전한 장소로 이동ㅇ 테러 발생 시 현지 경찰의 지시에 따르며, 현지 방송 내용 참고3. 신변안전 관련 사건·사고 발생 시에는 아래 연락처로 즉시 연락하여 
주시기 바랍니다ㅇ 독일 경찰 전화 : 110
ㅇ 주독일대사관 : +49-(0)30-260650(주간), +49-(0)173 407 6943(야간.주말)ㅇ 주본분관 : +49-(0)228-943790(주간), +49-(0)170 337 9105(야간.주말)ㅇ 주프랑크푸르트총영사관 : +49-(0)69-9567520(주간), +49-(0)173 363 4854(야간.주말)ㅇ 주함부르크총영사관 : +49-(0)40-650677600(주간), +49-(0)170 340 1498(야간.주말)ㅇ 영사콜센터: +82-2-3210 0404(24시간)- 카카오 상담 서비스: 카카오톡 채팅방에서 ‘영사콜센터’ 검색- 무료 전화앱: 앱스토어 등에서 ‘영사콜센터 무료전화’ 검색"
2,“원숭이두창(Monkeypox)” 발생 관련 안전 유의,2024-06-13,"ㅇ 남아공 보건부장관은 최근 ‘원숭이두창’ 감염사례가 지난 5월 2건(더반, 조벅)에 이어, 이번주 더반 지역에서 추가로 2건이 더 발생하였다고 밝혔습니다.ㅇ 원숭이두창은 해당 바이러스에 감염된 사람, 동물 또는 물질과 접촉할 경우 발병할 수 있으며, 증상으로는 2~4주간 지속되는 발진, 발열, 두통, 근육통, 허리통증, 기력 저하, 림프절 비대 등이 있습니다.  잠복기가 보통 6~13일 정도이나, 사람에 따라 5~21일 정도인 경우도 있습니다.ㅇ 우리국민들께서는 혹시 모를 감염에 대비하여 우리 질병관리청에서 배포한 예방수칙( #사진 참조) 등을 준수하시기 바랍니다. 아울러, 의심증상으로 검사를 받거나 또한 확진된 경우, 주남아공대사관 또는 영사콜센터로 즉시 신고하여 주시기 바랍니다.- 주남아공대사관 :+(27)-066-332-5897(사건사고 비상연락처)- 영사콜센터 :+82-2-3210-0404(국내외 유료),스마트폰에 무료전화앱 설치/이용https://0404.go.kr/callcenter/free_call_app.jsp(무료)감사합니다."
